date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:45:04	114/114	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Feb%202025%2009:45:03%20GMT	https://magical.my.id/robots.txt		(from )
17:45:04	28513/28513	---MCZ	200	added ('OK')	text/html	etag:W/%2267b19385-6f61%22	https://magical.my.id/	D:/WEB%20NOPY/magical.my.id/index.html	(from )
17:45:04	85724/85724	---M--	200	added ('OK')	image/png	etag:%226787bb4d-14edc%22	https://magical.my.id/assets/images/logo2.png	D:/WEB%20NOPY/magical.my.id/assets/images/logo2.png	(from https://magical.my.id/)
17:45:04	5211/5211	---M--	200	added ('OK')	text/css	etag:%2267879bd1-145b%22	https://magical.my.id/assets/css/animate.css	D:/WEB%20NOPY/magical.my.id/assets/css/animate.css	(from https://magical.my.id/)
17:45:04	4180/4180	---M--	200	added ('OK')	text/css	etag:%226787f64f-1054%22	https://magical.my.id/assets/css/flexslider.css	D:/WEB%20NOPY/magical.my.id/assets/css/flexslider.css	(from https://magical.my.id/)
17:45:05	176400/176400	---M--	200	added ('OK')	text/css	etag:%226789d455-2b110%22	https://magical.my.id/assets/css/main.css	D:/WEB%20NOPY/magical.my.id/assets/css/main.css	(from https://magical.my.id/)
17:45:05	4926/4926	---M--	200	added ('OK')	text/css	etag:%2267879bd1-133e%22	https://magical.my.id/assets/css/hamburger-style.css	D:/WEB%20NOPY/magical.my.id/assets/css/hamburger-style.css	(from https://magical.my.id/)
17:45:05	4314/4314	---M--	200	added ('OK')	text/css	etag:%2267879bd1-10da%22	https://magical.my.id/assets/css/slick.css	D:/WEB%20NOPY/magical.my.id/assets/css/slick.css	(from https://magical.my.id/)
17:45:05	2488/2488	---M--	200	added ('OK')	text/css	etag:%2267879bd1-9b8%22	https://magical.my.id/assets/css/set2.css	D:/WEB%20NOPY/magical.my.id/assets/css/set2.css	(from https://magical.my.id/)
17:45:06	6181/6181	---M--	200	added ('OK')	text/css	etag:%2267879bd1-1825%22	https://magical.my.id/assets/css/magnific-popup.css	D:/WEB%20NOPY/magical.my.id/assets/css/magnific-popup.css	(from https://magical.my.id/)
17:45:06	21445/21445	---M--	200	added ('OK')	text/css	etag:%22678a1e68-53c5%22	https://magical.my.id/assets/css/custom.css	D:/WEB%20NOPY/magical.my.id/assets/css/custom.css	(from https://magical.my.id/)
17:45:07	76682/76682	---M--	200	added ('OK')	application/javascript	etag:%2267879bd2-12b8a%22	https://magical.my.id/assets/js/ga.js	D:/WEB%20NOPY/magical.my.id/assets/js/ga.js	(from https://magical.my.id/)
17:45:07	2877159/2877159	---M--	200	added ('OK')	audio/mpeg	etag:%226188d6a6-2be6e7%22	https://magical.my.id/assets/audio/6.At%20The%20Fair%20The%20Green%20Orbs%20(No%20Copyright%20Music).mp3	D:/WEB%20NOPY/magical.my.id/assets/audio/6.At%20The%20Fair%20The%20Green%20Orbs%20(No%20Copyright%20Music).mp3	(from https://magical.my.id/)
17:45:07	57260/57260	---M--	200	added ('OK')	image/png	etag:%2267879bd2-dfac%22	https://magical.my.id/assets/images/gwhatsapp.png	D:/WEB%20NOPY/magical.my.id/assets/images/gwhatsapp.png	(from https://magical.my.id/)
17:45:07	182683/182683	---M--	200	added ('OK')	image/png	etag:%2267b1955d-2c99b%22	https://magical.my.id/assets/images/logo1.png	D:/WEB%20NOPY/magical.my.id/assets/images/logo1.png	(from https://magical.my.id/)
17:45:08	553414/553414	---M--	200	added ('OK')	application/javascript	etag:%2267879bd4-871c6%22	https://magical.my.id/assets/js/gtagmanager.js	D:/WEB%20NOPY/magical.my.id/assets/js/gtagmanager.js	(from https://magical.my.id/)
17:45:09	443461/443461	---M--	200	added ('OK')	image/jpeg	etag:%226787bb6c-6c445%22	https://magical.my.id/assets/images/IMGprofil.jpg	D:/WEB%20NOPY/magical.my.id/assets/images/IMGprofil.jpg	(from https://magical.my.id/)
17:45:09	583/583	---M--	200	added ('OK')	image/png	etag:%2267879bd2-247%22	https://magical.my.id/assets/images/grow_discord.png	D:/WEB%20NOPY/magical.my.id/assets/images/grow_discord.png	(from https://magical.my.id/)
17:45:09	187186/187186	---M--	200	added ('OK')	image/jpeg	etag:%22b5f02aa68b628a77a3dba3f03a6d5214%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_header.jpg	D:/WEB%20NOPY/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_header.jpg	(from https://magical.my.id/)
17:45:09	4598/4598	---M--	200	added ('OK')	image/png	etag:%2267879bd2-11f6%22	https://magical.my.id/assets/htp_icon/powertunnel.png	D:/WEB%20NOPY/magical.my.id/assets/htp_icon/powertunnel.png	(from https://magical.my.id/)
17:45:09	1563294/1563294	---M--	200	added ('OK')	image/png	etag:%226787ba5d-17da9e%22	https://magical.my.id/assets/images/playeron.png	D:/WEB%20NOPY/magical.my.id/assets/images/playeron.png	(from https://magical.my.id/)
17:45:09	4706/4706	---M--	200	added ('OK')	image/png	etag:%2267879bd2-1262%22	https://magical.my.id/assets/htp_icon/vhost.png	D:/WEB%20NOPY/magical.my.id/assets/htp_icon/vhost.png	(from https://magical.my.id/)
17:45:10	3654/3654	---M--	200	added ('OK')	image/png	etag:%2267879bd2-e46%22	https://magical.my.id/assets/htp_icon/surge5.png	D:/WEB%20NOPY/magical.my.id/assets/htp_icon/surge5.png	(from https://magical.my.id/)
17:45:10	3349/3349	---M--	200	added ('OK')	image/png	etag:%2267879bd2-d15%22	https://magical.my.id/assets/htp_icon/windows.png	D:/WEB%20NOPY/magical.my.id/assets/htp_icon/windows.png	(from https://magical.my.id/)
17:45:10	2946/2946	---M--	200	added ('OK')	image/png	etag:%2267879bd2-b82%22	https://magical.my.id/assets/htp_icon/mac.png	D:/WEB%20NOPY/magical.my.id/assets/htp_icon/mac.png	(from https://magical.my.id/)
17:45:10	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Feb%202025%2009:45:10%20GMT	https://magical.my.id/assets/worlds/dsart.png	D:/WEB%20NOPY/magical.my.id/assets/worlds/dsart.png	(from https://magical.my.id/)
17:45:11	512671/512671	---M--	200	added ('OK')	application/javascript	etag:%2267879bd3-7d29f%22	https://magical.my.id/assets/js/growweb.js	D:/WEB%20NOPY/magical.my.id/assets/js/growweb.js	(from https://magical.my.id/)
17:45:11	285314/285314	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-45a82%22	https://code.jquery.com/jquery-3.7.1.js	D:/WEB%20NOPY/code.jquery.com/jquery-3.7.1.js	(from https://magical.my.id/)
17:45:11	38765/38765	---M--	200	added ('OK')	application/javascript	etag:%2267879bd5-976d%22	https://magical.my.id/assets/js/jquery.magnific-popup.min.js	D:/WEB%20NOPY/magical.my.id/assets/js/jquery.magnific-popup.min.js	(from https://magical.my.id/)
17:45:11	4143/4143	---M--	200	added ('OK')	application/javascript	etag:%2267879bd4-102f%22	https://magical.my.id/assets/js/jquery.easing.min.js	D:/WEB%20NOPY/magical.my.id/assets/js/jquery.easing.min.js	(from https://magical.my.id/)
